Filtre 2, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.146120276721893
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.169230194884229
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.329713659014184
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.32888971801393
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.7997032693000214
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.656908115081494
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.779906128069866
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 5.3383116663245715
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.191471330648106
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.974017532693726
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 6.626134128043837
Filtre 2, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 35.469989492923645
Filtre 2, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.077520505864654
Filtre 2, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.142719745630233
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.189208374942269
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.533534794215894
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.529398171446808
